account_id,account_name,page_or_group,after_vs_before_reduce,june_drop
311190048935167,100 Percent FED Up,page,-62%,-13%
368897376460691,Cambodian Broadcasting Network,page,125%,392%
192579757479228,Nibiru Facts/Elenin Facts/2012/NWO/FEMA/Earth Quakes/T Cyclones etc,page,-18%,32%
1950920988468392,Chinese Immigrants For Trump - 华裔美国人挺川普,page,15%,-1%
349921132592053,The Dag Show,page,-46%,-57%
106142284337349,Ijele Speaks,page,80%,87%
2475752789311537,The Patriots Whistle,page,-19%,-81%
101277697147745,Normals Are Pissed,page,-15%,32%
223753401319052,Crazy Horse BKK,page,-88%,-88%
231483723608235,Botanica Health,page,-18%,-4%
1391741607799474,Trump / Buchanan - News,page,-71%,-4%
229396640773248,Sybil still says stuff,page,6%,
1485389031762998,Shattered World Media,page,-93%,67126%
403596363085296,Million Mask March,page,-32%,-70%
337541338604,Its So 'Dumb and Stupid' -Its Funny..,page,14%,19%
108574990945487,America's Frontline Doctors,page,-54%,
514127442254851,Exit The Matrix,page,-58%,-19%
1722113328082109,Jodie Meschuk,page,-38%,-54%
290481558061754,Term Limits in the USA,page,-42%,
1022451114485171,Ted Cruz Meme Page,page,58%,290%
109592213978244,I Use to _,page,-93%,299%
566786290035815,Tully News.Info,page,-46%,175%
401452053233884,Ultimate Health Academy,page,-38%,-34%
548465705355282,Cincy Deplorables for Trump,page,-42%,-43%
305526153367218,Libertarians: Diligently Plotting to Take Over the World & Leave You Alone,page,11%,23%
372987409478198,The Rational Capitalist,page,-11%,5%
226832690842311,Alcona County Republicans,page,12%,-44%
1597851217197491,Trump Nation,page,256%,128%
104622279580575,NGO News,page,-94%,-18%
893020407438595,Real Patriots,page,113%,
862758220582049,2atees1,page,-72%,5%
747176702290472,RoughWriters,page,-50%,
64162630683,I Love Carbon Dioxide,page,-2%,-2%
300464782146,SolomonsPorch.TV,page,-1%,109%
57321004972,Darin Southam,page,-58%,53%
540084372819534,Bump for Trump,page,-87%,-1%
16307558831,Mark Levin,page,2%,13%
354238218116433,Tami Marler,page,-30%,84%
958171017701055,Liberty Memes Against The Machine,page,,
1704214473233524,Trump for America,page,65%,41%
1880269222205396,Adorable Deplorables,page,-3%,5%
1429618713952936,Eric Nepute,page,-69%,-15%
735853826442164,"Abductions, UFOs and Nuclear Weapons",page,-23%,35%
1719153821681875,POVnow,page,-39%,12%
124411634236128,An0maly,page,-30%,26%
156650811060818,Evolution's Family Tree,page,-58%,72%
279493139294949,Electroverse,page,1%,-21%
109582133706349,The Truthful American,page,-14%,58%
103086304516095,Urban Conservatives of America,page,-80%,91%
1409826605740956,Publius,page,-47%,-1%
116685939211,Ash Soular,page,-16%,-7%
446678649219501,The Anti Leftist,page,23%,24%
758937241169560,Comrade Birb Podcast,page,24%,2%
464006850472633,Demystifying The Veil,page,-65%,144%
134576953320404,Biomagnetism USA,page,-35%,-45%
348707425855365,Calumet County Conservatives,page,40%,-2%
1798048280476680,Michigan for Trump,page,-25%,53%
112863016747838,Conservative Life,page,-56%,-14%
1789978124426389,Wisconsin Democracy,page,6%,4%
128387727274120,EastWest Bradford GOP,page,192%,19%
368557930146199,Tucker Carlson Tonight,page,38%,167%
1110464475641621,Jews for Trump,page,-49%,54%
841216655963206,The PROOF Blog,page,38%,81%
590774114458087,Painful Truths,page,60%,117%
632969560463569,Adams County Republican Club,page,-25%,-17%
970713956302666,Spank - The Monkey,page,-88%,-66%
110048244160008,Conspiracion Mundial FALSA Pandemia,page,-13%,
135335309947163,Tell The USA to DUMP Trump,page,-17%,0%
1829087647382275,The Viking Christian,page,-88%,-37%
1450852865214723,Brower Report,page,-2%,-4%
742147902479671,falseflag.info,page,-13%,-84%
989265834456558,Leo Biasiucci Arizona House of Representatives LD5 Republican,page,105%,86%
868672876515324,Make America Great Again,page,-17%,-44%
118935581610092,UKIP in South Tyneside Supporters  Discussion Page,page,-45%,788%
571488062950594,Florida Boys TV,page,-78%,-22%
287735811952055,NewsAmmo,page,-47%,-22%
159832600888497,TechBank,page,-11%,26%
666122390155956,The Cruz Liberty Revolution,page,-74%,-6%
125635420839496,Libertarian Party Ventura County,page,-62%,-5%
167978286549977,The Organic Housewife,page,-100%,-66%
