account_id,account_name,page_or_group,repeat_vs_free,june_drop
428830664135074,People Against Secret Societies and the NWO,group,-32%,-79%
1502253040010217,Lets talk about it Pawhuska,group,-55%,248%
122907195020114,AFP A Voice for All Australians (unofficial),group,18%,-54%
313827422002524,Climate change is natural,page,-44%,-60%
141655292860208,Alabama for Trump,page,-62%,-89%
120849201388920,Volusia County Republican Party,page,-74%,393%
54965910987,SHABAZZ THE DISCIPLE,page,-83%,1%
131533523581973,West Chester Tea Party,page,-70%,-84%
121187761264826,"Thoughts that make you go ""hmmmm""",page,-92%,-43%
213529222326050,Asians for Donald Trump,page,-77%,66%
100064276226417,"Civil Liberties, Consumer Rights & No-Tolls",page,38%,-29%
100044183796470,Boone Cutler,page,-36%,-38%
552282454964330,Hidden Truth PH,page,-53%,-20%
557491091048490,Iam MarioSmith,page,-58%,-41%
270655109622102,Laura's Shelter House,page,-87%,-91%
142199072497094,The Hardcore News Archive Page,page,,
100063558685226,REALNews,page,,
1791720267541353,Patriots Against Corrupt Government,page,-62%,2%
337296072954727,2012 Transformacija Svijesti,page,-37%,-19%
116520031761750,"The Franklin County, Pennsylvania Republican Journal",page,-82%,99%
100781921701576,Krieks For Trump,page,,
793820760679919,California Anti-Vax Mommies,page,-79%,67%
1244267005584076,Rite-ON,page,-62%,28%
443745452483314,Females for TRUMP,page,-61%,-2%
137984090025472,Sledgehammer News,page,30%,31%
213818145348591,Conservative Party Alabama,page,-31%,8%
1399710973580925,New Earth Project,page,,110%
426525230738933,Nordic Haus Massage,page,-68%,4452%
129120903800022,Truth News Radio Australia,page,-70%,
462828730467865,Katie Kountry,page,1780%,-13%
