account_id,account_name,page_or_group,repeat_vs_free,june_drop
160196911089139,TRUMP AMERICA FOR SAFETY AND FREEDOM,group,-49%,-19%
1220117708132394,Canadians 1st,group,-17%,36%
1226508377407824,Friends Who Like One America News Network,group,2%,-63%
598386606913823,LA MATRIX HOLOGRÁFICA,group,-33%,-27%
170265033739756,Believe It or Not You Decide,group,,
1326754280764340,Soc it to Trudeau!,group,20%,25%
1204666772916238,Conservative Republican - People's Grassroots National Campaign,group,63%,-69%
1473471652868646,Bobby Hemmitt,group,9%,-8%
71282297663, Laura Ingraham,group,52%,-74%
440570083037548,We Support President Donald Trump!,group,-11%,-72%
544459719049886,Making America Greater Together!,group,5%,-75%
1173188282831782,Médias Alternatifs Québecois,group,19%,-43%
160511144620388,Sebastian Gorka Fan Page,group,8%,-77%
442277059139325,ASK ELIJAH,group,108%,-7%
606521856580951,The Trump Revolution,group,56%,-37%
1906823532957407,Australians who Distrust the UN,group,38%,17%
917138978371533,Virginia Women For Trump,group,29%,0%
2780739088919109,Trump Team Sweden,group,,
622580044903801,Friends Who Like Dante Maravillas,group,20%,-78%
741393512704952,Politically Incorrect News for Conservatives,group,-67%,46%
148276115763053,FED UP CONSERVATIVES SUPPORT GROUP,group,-19%,172%
1655955358022417,HELP CANADIANS FIRST.....,group,39%,-80%
1440899039257984,American Association of Deplorables,group,-21%,-22%
210475495723716,Anti-Geo-engineering Ireland,group,-16%,-39%
2147378408904627,The Trump Train,group,-50%,-72%
1848561845370254,Patriots For Trump,group,-26%,-78%
111710415862,WORLD IN MOTION (Futuristic)☑️,group,-8%,-35%
1419682501381340,Virginia Freedom Caucus,group,32%,-47%
1924222584328623,Melania & Trump Fans,group,39%,-71%
298262134436478,Citizens For Legitimate Government group,group,-24%,174%
1849031118692494,Liz wheeler fans,group,-12%,49%
570807230034078,KEM NUT RA CULTURE,group,-72%,241%
193796748065069,Democrats Ruining California,group,-40%,-31%
724108900934820,Monmouth County News,group,26%,-71%
280869585869206,Republican Americans. We must push back. Democrats are evil.,group,-14%,5%
780061318849909,Dana Loesch Fans,group,-39%,-47%
246435365546360,James Woods facebook fans,group,-45%,-7%
469690803742659,MAGA Trump Supporters 2020,group,,33%
227145791288341,African-Americans for Trump Group,group,-5%,-27%
214545149279946,Deaf Politics View & Comedy,group,-35%,3%
301024073262911,FilAm Voter,group,6%,-60%
504143656428853,"Trump 2024, America First!",group,-12%,-25%
124401101523838,Amici di TRUMP,group,,203%
143144916492993,RT and Super Fans!,group,-29%,-74%
2011968789047739,Your Black History,group,-23%,-66%
605711830065095,NEW YORKERS FOR AMERICA FIRST!!!,group,,
1748873332027153,Donald J Trump for the People,group,188%,-9%
1024635040937133,Keep America Great Warriors,group,-11%,-34%
237344873129421,Impeach The Democrats,group,-35%,-66%
361724884688202,The Info War,group,38%,30%
568000273781837,New Yorkers and friends that hate Cuomo,group,,-2%
255652998539273,Moving It Right,group,-2%,-31%
1073354942698079,Citizens Initiative,group,-29%,64%
3033719936700499,Make California Great Again 🇺🇸,group,-21%,-2%
956529011190266,Proud 'Deplorables',group,31%,-80%
841242832925987,Trump Cult Deplorables,group,-21%,-28%
104173366635256,Black Archaeologist Group,group,33%,-91%
1160241394174677,Shifty Schiff,group,-47%,-43%
