account_id,account_name,page_or_group,repeat_vs_free,june_drop
246785959867588,Albertans Against Excessive Lockdown,group,,-33%
357402078536441,Reopen Washington State - #ReopenWA,group,105%,-59%
3247348058642730,Glorious And Free,group,-6%,24%
282967603146622,Wake Up Australia,group,,
546415315738993,Forbidden Knowledge News,group,-4%,-77%
290998502278141,99% Unite Worldwide,group,,
1140218829669777,"Fauci , Gates & Soros  to prison worldwide Resistance",group,,-69%
964155617255581,Hold Trudeau Accountable Group,group,-35%,-57%
1483323715310062,THE REPUBLIC OF WESTERN CANADA PUBLIC INTEREST,group,-23%,-64%
347341572523774,United Conservatives For America,group,-22%,15%
1988519967854482,"The ""Real"" Trump Army",group,-24%,-9%
239099360798212,Plandemic (Fake Pandemic),group,222%,-66%
291686185301,Chemtrails Global Skywatch,group,33%,-80%
1250734815048111,FOX NEWS with Tucker Carlson,group,43%,-50%
175105516198463,The William Tell Project,group,45%,-73%
234070164617125,#ReOpenOC,group,9%,-63%
1081465575207361,THE TRUMPERS!!!,group,-40%,-30%
831694823850817,Restore Liability For The Vaccine Makers,group,0%,-62%
845525742466504,CANDACE OWENS FAN CLUB,group,-7%,-63%
1612798628867653,End the Lockdown Ireland,group,16%,-65%
1790005637805052,NO MORE LOCKDOWNS,group,-30%,-76%
2893268984072027,Exposing the truth & NWO (for the woke & the open/curious minded people),group,-29%,-79%
115702945209925,The Real Worldwide Truth Movement!,group,-4%,-40%
934290230389487,Stand Up To End The Tyranny Worldwide,group,,
370128857024287,Patriots of Canada,group,230%,-77%
638218223236067,James Woods for Gov of California,group,-67%,35%
228142555200570,Reopen California...NOW!,group,9%,-73%
309020163445830,Collective Action Against Bill Gates. We Wont Be POISONED!!!,group,,-43%
129126187195865,THRIVE MOVEMENT,group,67%,-83%
497786560400199,The Official President Donald J. Trump Fan Club,group,138%,-48%
478302976039025,Forum For Canadian Sovereignty,group,-19%,43%
188295541208911,Vaccine Resistance Movement: VRM Updates & News From The Trenches,group,-15%,-11%
230040138059037,Collective Action Network,group,-42%,-87%
1645790582350852,MA 4 Trump,group,6%,-43%
1660084387554758,Truth Train,group,-37%,-37%
1281375491930209,Conspiracy Theory & Alternative News,group,-40%,33%
1397301420532115,NWO FREEDOM FIGHTERS,group,-65%,-43%
1406004486315476,Humanity vs Insanity - The CRANE Report,group,14%,-77%
276737210169738,Bill Gates Won't Save You!!!,group,,-58%
345067226500822,Vi siger nej til tvungen brug af mundbind,group,,
150885993001280,Californians Against Unconstitutional Health Orders,group,16%,-74%
1167467090082059,Recall Governor Pritzker,group,-23%,-48%
465951613750569,Millions of Canadians Despise Justin Trudeau,group,64%,-50%
42443142966,The British Constitution Group,group,11%,-66%
234150374025056,5G - dangers & health problems discussion,group,-9%,-51%
1908788856028251,David Icke Awakening People,group,279%,-36%
110883345731728,Ontario Civil Liberties Association,group,76%,110%
121429067911803,ROKOTUSKRIITTISET,group,21%,-55%
266722770872225,"Stop (5G, Smart Meters & Geoengineering) Globally",group,74%,92%
147735118603252,Støt Læger uden Sponsor,group,4%,-58%
1387560021464629,Wrong Vaccines,group,-58%,164%
1087461367969247,"Stop GeoEngineering, Chemtrails, Bio-hacking CRISPR, GMO, WeDoNotConsent",group,-34%,15%
548088436084442,Restore Ohio,group,33%,-54%
1198002033544520,Bring Vaxxed to Australia/New Zealand,group,-46%,-16%
216216185397065,Truth Revolution,group,71%,-77%
1392896167629554,"Sjálfsónæmissjúkdómar gigt, MS. narcolepsy af völdum bóluefna.",group,-42%,176%
1504660772984268,Zero Hedge Community,group,-15%,-24%
1178453042284676,Friends of Candace Owens,group,-37%,-59%
537562479751934,NAŞUL TV CANADA,group,274%,-62%
2341122836194130,L'Eretico,group,,
773741529826244,nee tegen 1.5 meter,group,,302%
98258276788,"Arnica - Parents' Support Network, Promoting Natural Immunity",group,9%,-41%
284182619499733,Stop à la dictature sanitaire,group,,
462043044271038,Australia-wide Community Board No Rules,group,-14%,-73%
114650642075354,We Hate the Toronto Star,group,54%,-4%
